Iteration,Distance,Repeat
0,17.891233444213867,0
1000,17.891233444213867,0
2000,17.891233444213867,0
3000,17.891233444213867,0
4000,17.891233444213867,0
5000,17.891233444213867,0
6000,17.891233444213867,0
7000,19.55278968811035,0
8000,19.55278968811035,0
9000,19.55278968811035,0
10000,19.55278968811035,0
11000,19.55278968811035,0
12000,19.55278968811035,0
13000,19.55278968811035,0
14000,19.55278968811035,0
15000,19.55278968811035,0
16000,19.55278968811035,0
17000,19.55278968811035,0
18000,19.55278968811035,0
19000,19.55278968811035,0
