Iteration,Distance,Repeat
0,11.148331642150879,0
10,16.185754776000977,0
20,16.185754776000977,0
30,16.185754776000977,0
40,16.185754776000977,0
50,16.185754776000977,0
60,19.953493118286133,0
70,19.953493118286133,0
80,19.953493118286133,0
90,19.953493118286133,0
100,19.953493118286133,0
110,31.116579055786133,0
120,32.339962005615234,0
130,32.339962005615234,0
140,32.339962005615234,0
150,32.339962005615234,0
160,36.3551139831543,0
170,36.3551139831543,0
180,36.3551139831543,0
190,36.3551139831543,0
200,36.3551139831543,0
210,36.3551139831543,0
220,36.3551139831543,0
230,36.3551139831543,0
240,36.3551139831543,0
250,36.3551139831543,0
260,36.3551139831543,0
270,36.3551139831543,0
280,36.3551139831543,0
290,36.3551139831543,0
300,36.3551139831543,0
310,36.3551139831543,0
320,36.3551139831543,0
330,36.3551139831543,0
340,36.3551139831543,0
350,36.3551139831543,0
360,36.3551139831543,0
370,36.3551139831543,0
380,36.3551139831543,0
390,36.3551139831543,0
400,36.3551139831543,0
410,36.3551139831543,0
420,36.3551139831543,0
430,36.3551139831543,0
440,36.3551139831543,0
450,36.3551139831543,0
460,36.3551139831543,0
470,36.3551139831543,0
480,36.3551139831543,0
490,36.3551139831543,0
