Iteration,Distance,Repeat
0,14.365619659423828,0
1000,21.584741592407227,0
2000,21.584741592407227,0
3000,21.584741592407227,0
4000,21.584741592407227,0
5000,21.584741592407227,0
6000,21.584741592407227,0
7000,21.584741592407227,0
8000,21.584741592407227,0
9000,21.584741592407227,0
10000,21.584741592407227,0
11000,21.584741592407227,0
12000,21.584741592407227,0
13000,21.584741592407227,0
14000,21.584741592407227,0
15000,21.584741592407227,0
16000,21.584741592407227,0
17000,21.584741592407227,0
18000,21.584741592407227,0
19000,21.584741592407227,0
20000,21.584741592407227,0
21000,21.584741592407227,0
22000,21.584741592407227,0
23000,21.584741592407227,0
