Iteration,Distance,Repeat
0,14.56566047668457,0
10,14.56566047668457,0
20,18.260635375976562,0
30,18.260635375976562,0
40,18.260635375976562,0
50,18.260635375976562,0
60,19.22418975830078,0
70,19.22418975830078,0
80,19.22418975830078,0
90,19.22418975830078,0
100,19.22418975830078,0
110,25.10529899597168,0
120,25.10529899597168,0
130,25.10529899597168,0
140,25.10529899597168,0
150,25.10529899597168,0
160,25.10529899597168,0
170,25.10529899597168,0
180,25.10529899597168,0
190,25.10529899597168,0
200,25.10529899597168,0
210,25.10529899597168,0
220,25.10529899597168,0
230,25.10529899597168,0
240,25.10529899597168,0
250,25.10529899597168,0
260,25.10529899597168,0
270,25.10529899597168,0
280,25.10529899597168,0
290,25.10529899597168,0
300,25.10529899597168,0
310,25.10529899597168,0
320,25.10529899597168,0
